name,unit
سماد مغنيسيوم سلفيت فيتاس ++,شوال (25كغم )
سماد مغنيسيوم سلفيت مصري,شوال (25كغم )
سماد مغنيسيوم سلفيت هندي,شوال (25كغم )
سماد مغنيسيوم سلفيت(ادفرت),شوال (25كغم )
سماد مغنيسيوم نيتريت,شوال (25كغم )
سماد مغنيسيوم نيتريت VAN IP,شوال (25كغم )
سماد مغنيسيوم نيتريت فيتاس,شوال (25كغم )
سماد ميكافوز 18/18/5 DEEBAJ,شوال (25كغم )
سماد ميكافوز5/18/18 بلجيكي,شوال (25كغم )
سماد نيتروكال بلص,جالون20لتر
سماد هارفيست 18/18/5,شوال (50 كغم )
سماد هورتال 6/20/30,شوال (25كغم )
سماد ورقي 10/52/8,1 كغم
سماد ورقي 31/11/11,1 كغم
سماد يوريا سعودي,شوال (50 كغم )
سماد يوريا فوسفيت infert,شوال (25كغم )
سماد يوريا فوسفيت VAN IP,شوال (25كغم )
سماد يوريا فوسفيت(سوليوفيرتل),شوال (25كغم )
سماد يوريا ليبي,شوال (50 كغم )
سماد0/0/40  سائل,جالون20لتر
سنديان (فسكو6),باكيت
سوبرين 25% EC,1 لتر
سوراج (بديل مونيتور),علبه
سورادو 11%,علبه
سومبراسول - مادة  تظليل البيوت,سطل
سونوميل,علبه
سيغابنز(ايمامكتين بنزويت),علبه
سيفانتو,علبه
سيكوفانتو,باكيت
سيكومثرين,1 لتر
سيلويت جولد 250مل,علبه
سيليكت_سوبر,1 لتر
سيمور,1 لتر
شاش 1.55م (21غم),رول
شاش 1.6×500(21غم),رول
شاش 1.6م (17غم) TURK.,رول
شاش 1.6م (19غم) TURK.,رول
شاش 2.4*500 (21) الماني,رول
شاش 2.4م (19غم) TURK.,رول
شاش 2.4م (21غم),رول
شاش 2.4م×500م (19غم),رول
شاش 3م*500م (19غم),رول
شاش 3م×300م(30غم),رول
شاش 3م×400 (25غم),رول
شاش 3م×500م(21غم) الماني,رول
شاش 5م*3م,عدد
شاش 6.5م*2.5م,عدد
شاش ابواب 10 م*3م,عدد
شاش ابواب 9.5م*3م,عدد
شاش ابواب 9.5م*4.5م,عدد
شاش ابواب 9م*3.5م,عدد
شاش ابواب9*3,عدد
شاش زراعي 3م (21غم),رول
شاش هوايات 1م*2م,عدد
شاش2.4 (19غم),رول
شبك ابيض 3م×100م,رول
شبك ابيض 4م×100م,رول
شبك ابيض ارضي (4م×100م),رول
شبك ابيض ارضي (5م×100م,رول
شبك ابيض ارضي 4.25م×100م,رول
شبك ابيض ارضي 5.25م×100م,رول
شبك اخضر 50%,رول
شبك اخضر 70%,رول
شبك اسود 50%,رول
شبك اسود 70%,رول
شبك اسود ارضي 2.1م×100م,رول
شبك اسود ارضي 3×100,رول
شبك اسود ارضي 4.25×100,متر مربع
شبك اسود ارضي 4×100,رول
شبك اسود ارضي 5×100,رول
شبك بوابات ابيض( 100x4,رول
شبك تظليل 30% رمادي,رول
شبك تظليل 40% اسود,رول
شبك تظليل 50% اخضر,رول
شبك تظليل 50% اسود(4×60),رول
شبك تظليل 70% اخضر,رول
شبك تظليل 70% اسود(3.66×60),رول
شبك تظليل اخضر 50%,رول
شبك تظليل زراعي اخضر,متر طولي
شبك ذبابة ابيض,متر مربع
شعير,طن
شفرة ثابتة(فسكو1),عدد
شفرة ثابتة(فسكو6),عدد
شفرة متحركة (فسكو6),عدد
شفرة متحركة(فسكو1),عدد
شفرة مع طقم غيار LOWE 10,عدد
شفرة مع طقم غيار LOWE 14,عدد
شفرة مع طقم غيار LOWE 6,عدد
شفرة مع طقم غيار LOWE 8,عدد
شفرة مقص LOWE 10,عدد
شفرة مقص LOWE 14,عدد
شفرة مقص LOWE 16,عدد
شفرة مقص LOWE 6,عدد
شفرة مقص LOWE 8,عدد
شمام سمر,باكيت
شيلات حديد 12%,شوال 20كغم
شيلات زنك 12%,شوال 20كغم
شيلات منغنيز 12%,شوال 20كغم
طحالب بحرية stim concentrate,1 لتر
فالتيرا,باكيت
فايوميل(بديل فايديت),1 لتر
فرامة حطب واحجار صغيرة180سم,عدد
فرمون رينكو برو كلاسيك,علبه
فكسين 38%,علبه
فلازون (ابامكتين 1.8%),1 لتر
فلاش كي KTS,جالون20لتر
فلفل حار RISHO (Sevry type),باكيت 1000 بذرة
فلفل سناك احمر MINNUET RZ (عبوة 500),باكيت 500 بذرة
فلفل سناك اصفر YELLOW ZAPPA RZ (عبوة 500),باكيت 500 بذرة
فلفل سناك برتقالي RANGE CREAM RZ عبوة 500),باكيت 500 بذرة
فلورامايت,علبه
فلوسل,1 لتر
فودو(بديل فيوزيلايد),1 لتر
فورباز,1 لتر
فورتاليف,5 لتر
فوسجارد,عدد
فوسفوريك اسيد,جالون20لتر
فوكس الترا,1 لتر
فيتا-هيومك 15% سائل,جالون20لتر
فيتامين حديد,1 لتر
فيتامينول,1 لتر
فيتو جارد(FITOGUARD(,1 لتر
فيتو هوم,5 كغم
فيتوسول زنك,5 كغم
فيتوسولت(جالون 5لتر),5 لتر
فيتوكاس(KTS(,جالون20لتر
فيتوكال,1 كغم
فيتوكوب نحاس,5 كغم
فيتولاس,5 لتر
فيتوماج,5 كغم
فيتومانغان,5 كغم
فيتومايكرو بلص,5 كغم
فيتوهوم (عبوة 2.5 كغم),باكيت
فيتوهوم/عبوة 1كغم,1 كغم
فيرتيليدر اليت/1لتر,1 لتر
فيرتيليدر اليت/5لتر,5 لتر
فيرتيليدر كالماج,جالون10لتر
فيرتيليدر كالماج/5لتر,5 لتر
فيرتيليدر ليوس/1لتر,1 لتر
فيرتيليدر ليوس/5لتر,1 لتر
فيسترو 50%(بديل ابولو),علبه
فيلم برايم,علبه
فيلور (احماض امينية),5 لتر
فيلور +,5 لتر
فيوري(زيتامثرين),1 لتر
فيوزيلايد ماكس,1 لتر
قمح Nezar,طن
كابند,1 كغم
كابوس,1 لتر
كاربنديت,1 كغم
كارتيبلي,1 كغم
كاستروب,علبه
كافارا,علبه
كافي(بديل سيليكت سوبر),1 لتر
كال ماغنو(CALMAGNO(,1 لتر
كال ماغنو(CALMAGNO([جالون 5لتر,5 لتر
كاليجرين,1 كغم
كانيمايت,علبه
كبروكسيد(نحاس),1 كغم
كبريت تعفير 16%,شوال (25كغم )
كبريت تعفير 4%,شوال (25كغم )
كبريت تعفير سعودي,شوال (25كغم )
كبريت محبب,طن
كبريتون,5 لتر
كريستال(لامبدا+ثايميثكسام),علبه
كفر رشاش(24//9/14),عدد
كلتش 50%,باكيت 400 غم
كلورفينر,علبه
كلوروفوس(250 مل),علبه
كنز (بيفنزيت+ابامكتين),علبه
كوالا,1 لتر
كورابين ( بيريدابين 20%),1 كغم
كوراجين (200مل),علبه
كورازول,علبه
كوسا P.S,علبه
كوفلكس,علبه
كوما اس سي,1 لتر
كومولوس,1 كغم
كونازول(250 مل),علبه
كونتاكتور برج 3P,عدد
كويل,1 لتر
كينجتاب,1 كغم
لستوميد 24%,1 لتر
لوبيا سيدر,باكيت
لوردر,1 لتر
لونا,علبه
ليمباردو 5%,1 لتر
لينجر,1 لتر
ماتش,علبه
مارول اخضر,1 كغم
ماكنة فرز ثوم,عدد
ماكنة فرز وتوظيب,عدد
ماكينات,عدد
مايت ستروك,1 لتر
مبرد شفرات مقصات LOWE,عدد
مبرد شفرة عريض,باكيت
مبرد شفرة هرمي,باكيت
متفرقات,عدد
مخصب امكوتون,علبه
مصائد رينكو كلاسيك,عدد
مقص تقليم LOWE 1.104,عدد
مقص تقليم LOWE 6.104,عدد
مقص تقليم LOWE 8.104,عدد
مقص تقليم LOWI 10.107,عدد
مقص تقليم مع ذراع 80سم LOWE 22.080,عدد
مقص تقليم ورد LOWE 14.104,عدد
مقص تقليم ورد قابض الافرع LOWE 16.107,عدد
مقص تقليم يد متحركة LOWE 6.109,عدد
مقص تقليم يد متحركة LOWI 8.109,عدد
مقص فسكو 1,عدد
مقص فسكو 6,عدد
مقص فسكو PLUS  6,عدد
مقص فلكو,عدد
مقص قطف رأس طويل,عدد
مقص قطف رأس قصير معكوف,عدد
مقص قطف عنب,عدد
مقص قطف عنب رأس معكوف,عدد
مقص كورونا,عدد
ملبد كبريت,1 كغم
منثين(مانكوزيب),1 كغم
منشار بوشمان,عدد
منشار فسكو مع جيب بلاستيك,عدد
موديستا( اميدكلوبريد 35%),1 لتر
مورسترين  حديد 20كغم,شوال 20كغم
مورسترين حديد 6%,1 كغم
مورسترين/ حديد 6% عبوة 5كغم,5 كغم
موس تطعيم فسكو1,عدد
موسبي,باكيت
مونسرين,1 كغم
ميان,1 لتر
ميتارو,باكيت
ميتروكور 1ك,1 كغم
ميتروكور 500غم,باكيت (1/2 كغم)
ميرافس دو 250مل,علبه
ميزرول,1 كغم
ميكرو-كير/حديد 6%,1 كغم
ميكرومكس (عناصر),شوال 20كغم
ميكرونال زنك,1 كغم
ناتيفو,باكيت 250 غم
نايس جريب,1 كغم
نحاس فنجران,باكيت
نسرون,باكيت
نوردوكس (نحاس),1 كغم
نوكسبورو (ديفينوكونازول 25%),1 لتر
نومولت,علبه
نيتروليف 20/20/20,1 كغم
نيترومين 434,1 كغم
نيترومين كالبور,1 كغم
نيج مايت(بديل نسرون),علبه
نيزاجري (هيكساثيازوكس 5%),1 لتر
نيستور 500غم,باكيت (1/2 كغم)
نيورون,1 لتر
هاتشي هاتشي,علبه
هرمون عقد بندورة,باكيت
هيدروجرين,جالون20لتر
هيروس,علبه
هيمازول,علبه
هيومك اسيد 12% سائل,جالون20لتر
